Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
10/29/2024,35.925.005,"1.232.685.899,00",30.758.480,"1.144.136.781,55",17.723.660,"434.800.044,00",308.223.660,"5.658.263.544,00"
10/28/2024,25.992.247,"794.850.302,60",37.666.479,"1.218.213.145,26",2.207.300,"113.241.512,00",2.957.300,"184.609.762,00"
10/25/2024,29.760.373,"979.856.936,95",38.795.513,"1.398.815.836,30",428.049,"12.853.227,10",928.049,"26.126.727,10"
10/24/2024,31.878.095,"1.104.798.573,75",41.008.737,"1.292.008.154,15",7.935.000,"234.235.910,00",7.935.000,"234.235.910,00"
10/23/2024,33.387.125,"1.065.715.896,50",32.634.395,"997.026.932,80",2.183.297,"43.946.021,70",2.915.000,"106.517.925,00"
10/22/2024,37.425.648,"1.274.643.450,05",48.592.912,"1.472.270.839,15",2.804.900,"94.451.160,70",424.900,"24.654.200,70"
10/21/2024,31.868.831,"1.087.463.654,20",40.143.955,"1.370.059.869,75",2.430.400,"86.564.978,60",2.430.400,"86.564.978,60"
10/18/2024,21.527.685,"746.653.028,20",30.717.834,"960.291.834,15",7.300.000,"128.461.460,00",2.010.150,"76.139.008,70"
10/17/2024,33.191.832,"1.011.833.333,00",45.691.586,"1.381.665.239,65",17.090.000,"314.033.601,80",19.000.640,"358.968.272,45"
10/16/2024,25.245.600,"957.969.331,00",38.504.688,"1.262.779.985,30",9.610.100,"191.661.300,00",2.790.100,"130.413.150,00"
10/15/2024,29.137.363,"1.014.276.891,15",43.974.650,"1.406.295.460,10",2.325.200,"115.556.512,00",5.125.360,"259.600.176,25"
10/14/2024,26.918.087,"961.693.244,40",45.099.457,"1.558.713.165,20",845.000,"55.890.225,00",1.125.000,"67.775.225,00"
10/11/2024,34.336.675,"1.294.609.522,70",37.572.174,"1.228.355.220,50",12.531.700,"201.685.922,80",21.702.085,"580.475.249,30"
10/10/2024,40.121.744,"1.847.592.442,53",43.182.971,"1.447.184.450,90",9.321.300,"267.053.347,50",3.991.709,"162.491.984,40"
10/09/2024,59.523.309,"2.016.681.759,65",63.137.216,"2.050.527.422,80",5.131.700,"213.291.238,20",6.484.179,"244.354.540,65"
10/08/2024,43.957.298,"1.350.534.870,15",42.949.248,"1.425.496.818,64",1.422.400,"86.823.662,00",1.833.562,"141.115.841,25"
10/07/2024,23.008.345,"769.258.690,60",40.498.808,"1.122.290.232,05",1.132.300,"61.361.755,00",1.056.100,"59.971.105,00"
10/04/2024,28.475.071,"868.031.991,45",39.562.641,"1.189.987.723,43",2.386.000,"78.920.750,00",8.434.000,"332.818.958,00"
10/03/2024,52.828.744,"1.696.154.756,20",44.452.208,"1.134.582.446,50",1.133.300,"29.406.202,00",1.110.289,"27.070.460,75"
10/02/2024,33.366.258,"1.089.783.559,70",32.176.205,"910.129.669,05",4.641.800,"254.718.027,00",4.346.582,"164.049.386,60"
10/01/2024,53.998.810,"1.826.439.670,80",38.387.501,"1.139.114.442,25",972.700,"43.783.499,50",1.040.700,"44.473.699,50"
09/30/2024,36.315.069,"1.311.120.719,80",54.626.912,"1.725.859.062,65",1.647.200,"80.522.480,20",3.332.190,"114.611.182,50"
09/27/2024,59.618.793,"1.790.255.596,71",51.660.747,"1.501.198.997,10",9.811.100,"238.234.670,00",10.659.700,"254.437.858,80"
09/26/2024,71.587.142,"2.194.088.945,80",43.324.580,"1.230.038.510,95",9.632.700,"330.393.896,40",9.600.863,"306.270.023,50"
09/25/2024,65.954.955,"1.982.613.798,85",47.723.569,"1.512.081.412,90",8.479.000,"293.199.496,00",8.360.938,"254.780.630,10"
09/24/2024,34.388.372,"1.074.373.370,90",35.744.787,"944.157.360,00",16.008.500,"311.977.730,80",155.114.520,"2.883.196.795,20"
09/23/2024,34.285.574,"1.108.585.368,85",36.315.639,"1.001.372.948,05",6.630.200,"296.571.650,00",4.307.297,"216.627.477,80"
09/20/2024,84.973.119,"2.512.556.441,80",101.479.483,"2.873.179.360,71",10.689.800,"367.463.477,80",9.864.130,"325.632.533,70"
09/19/2024,45.206.685,"1.611.909.934,65",31.551.428,"1.091.670.781,21",8.486.200,"138.361.015,00",9.490.694,"165.870.445,90"
09/18/2024,42.734.209,"1.703.478.245,50",38.407.327,"1.421.329.667,74",8.907.800,"200.424.520,00",3.922.178,"109.740.720,50"
09/17/2024,42.189.984,"1.417.460.345,85",23.909.552,"863.651.522,99",1.067.500,"47.366.008,40",2.105.030,"77.878.660,75"
09/16/2024,30.316.902,"996.129.795,60",27.731.588,"819.379.252,83",4.258.200,"223.828.820,00",4.694.437,"214.391.545,70"
09/13/2024,41.084.018,"1.317.345.038,35",34.412.487,"1.160.435.310,40",2.095.800,"135.791.587,00",7.578.008,"369.378.040,90"
09/12/2024,26.810.090,"1.107.071.136,30",37.183.300,"1.274.148.615,55",11.629.400,"317.170.628,20",11.924.924,"333.191.295,50"
09/11/2024,36.192.279,"1.355.468.340,10",40.240.067,"1.330.597.387,40",3.910.900,"190.823.544,60",4.031.458,"198.822.149,70"
09/10/2024,27.418.136,"1.204.728.859,45",48.619.204,"1.605.363.496,55",4.436.500,"164.691.104,00",4.105.303,"172.136.950,20"
09/09/2024,26.434.869,"909.641.189,85",39.199.623,"1.371.900.555,25",8.078.100,"249.178.453,00",8.197.300,"252.503.733,00"
09/06/2024,43.579.238,"1.640.662.375,15",29.321.013,"972.722.082,60",49.212.918,"1.246.762.733,20",58.612.318,"1.657.644.731,20"
09/05/2024,33.447.768,"1.318.535.351,76",55.959.623,"1.999.990.351,17",56.601.288,"1.401.606.933,80",56.761.654,"1.404.895.819,20"
09/04/2024,30.928.430,"991.880.818,20",55.222.283,"1.735.700.711,08",13.770.900,"577.519.769,20",13.891.144,"584.529.837,05"
08/30/2024,38.154.438,"1.436.438.369,30",45.720.295,"1.411.335.115,45",6.008.900,"105.500.697,00",3.408.900,"64.778.397,00"
08/29/2024,31.323.920,"1.211.636.911,00",47.599.290,"1.309.088.468,90",11.242.368,"543.345.717,20",11.714.482,"545.228.232,95"
08/28/2024,28.185.549,"1.086.611.332,90",41.896.008,"1.189.102.340,20",10.891.300,"292.958.754,00",11.669.578,"316.035.290,90"
08/27/2024,29.223.600,"1.133.509.305,00",38.700.392,"1.167.082.588,32",2.498.100,"74.366.715,00",10.782.392,"277.549.931,10"
08/26/2024,35.056.505,"1.214.292.036,70",57.368.518,"1.585.151.787,45",3.940.500,"129.116.520,60",5.590.841,"143.634.855,75"
08/23/2024,32.694.602,"1.189.927.648,50",45.272.868,"1.247.778.961,33",10.166.200,"345.029.520,00",10.366.606,"347.047.408,00"
08/22/2024,30.034.437,"1.143.344.517,90",58.533.637,"1.586.944.585,51",12.055.700,"502.216.790,15",13.056.566,"530.478.032,75"
08/21/2024,48.483.021,"1.874.852.275,65",70.891.112,"2.073.397.489,20",6.464.400,"155.761.950,00",6.564.870,"156.713.605,40"
08/20/2024,50.050.600,"1.601.622.428,35",39.124.981,"1.242.544.972,81",6.756.700,"202.161.801,70",7.447.051,"219.277.255,85"
08/19/2024,26.670.859,"1.011.875.535,70",39.234.586,"1.298.434.428,20",4.879.800,"138.903.851,60",4.980.142,"141.156.977,10"
08/16/2024,62.507.984,"2.007.454.226,70",57.757.705,"1.851.750.417,55",2.986.800,"78.138.270,90",8.257.172,"297.485.407,50"
08/15/2024,33.155.691,"1.190.849.491,80",35.387.794,"1.096.356.379,45",16.172.939,"417.890.009,90",15.472.107,"399.582.259,05"
08/14/2024,30.782.102,"1.277.894.835,55",41.989.956,"1.361.087.555,55",23.232.090,"914.609.449,60",3.361.650,"139.619.436,10"
08/13/2024,33.479.526,"1.379.606.751,30",45.297.689,"1.450.440.158,77",17.833.400,"490.141.008,00",2.338.000,"100.646.198,00"
08/12/2024,26.724.394,"1.120.091.415,15",34.185.532,"1.158.979.424,07",15.511.300,"437.563.225,00",5.456.500,"369.253.958,10"
08/09/2024,42.788.952,"1.684.403.057,20",40.094.675,"1.242.617.697,80",3.408.400,"118.709.529,80",7.463.821,"519.650.568,20"
08/08/2024,23.857.534,"957.927.935,60",66.088.326,"1.893.541.689,70",25.533.331,"744.495.297,40",22.434.931,"1.004.727.970,80"
08/07/2024,34.494.490,"1.289.660.150,40",87.274.693,"2.624.459.975,95",4.412.100,"126.768.025,90",4.720.100,"132.899.347,90"
08/06/2024,49.276.199,"1.680.534.085,05",50.634.768,"1.746.691.391,68",8.075.000,"364.586.181,90",24.694.075,"1.024.694.439,40"
08/05/2024,29.074.742,"1.372.597.022,15",67.034.236,"2.093.636.689,84",24.348.000,"594.507.771,00",22.217.900,"551.826.690,30"
08/02/2024,58.788.460,"1.981.462.512,80",44.571.082,"1.214.265.198,84",2.873.800,"74.198.375,60",2.529.780,"67.557.961,40"
08/01/2024,45.360.886,"1.792.940.931,50",61.122.947,"1.724.955.150,21",21.043.500,"648.844.652,80",21.133.500,"650.913.422,80"
07/31/2024,41.898.301,"1.662.917.498,80",49.736.377,"1.360.384.513,73",4.089.600,"283.520.912,50",26.120.900,"1.247.942.507,50"
07/30/2024,31.603.178,"1.053.691.943,45",48.865.298,"1.364.570.379,96",6.907.100,"202.478.293,20",6.957.100,"203.525.043,20"
07/29/2024,22.650.544,"827.451.678,00",30.811.818,"1.063.738.304,15",1.141.100,"29.633.325,00",1.541.200,"36.575.943,25"
07/26/2024,24.956.008,"996.526.807,35",38.033.812,"1.299.166.864,94",16.061.790,"919.531.631,10",3.260.400,"242.596.593,20"
07/25/2024,17.958.805,"641.128.220,00",39.846.311,"1.119.294.661,55",30.846.000,"999.950.742,80",26.305.400,"993.844.582,80"
07/24/2024,60.567.996,"1.912.859.971,30",40.347.783,"1.524.117.012,85",16.328.000,"252.720.750,00",18.636.100,"416.492.390,00"
07/23/2024,36.911.942,"1.358.094.457,75",48.126.121,"1.497.530.819,15",5.536.700,"164.976.984,60",5.277.200,"157.376.434,60"
07/22/2024,42.473.415,"1.426.932.507,50",43.765.129,"1.396.752.023,15",37.661.100,"575.752.145,00",9.530.000,"224.485.480,00"
07/19/2024,27.226.346,"954.402.797,60",47.358.186,"1.543.798.372,50",42.113.500,"729.817.468,00",14.791.551,"491.339.555,35"
07/18/2024,49.740.530,"1.626.562.482,00",43.776.938,"1.781.658.040,04",59.398.931,"1.784.397.179,72",22.781.786,"712.387.471,90"
07/17/2024,61.364.050,"2.195.070.353,45",62.222.857,"1.872.897.648,60",10.457.610,"448.264.897,00",7.114.486,"254.519.107,30"
07/16/2024,33.268.031,"1.245.453.969,90",47.075.561,"1.502.606.447,24",5.367.200,"187.676.425,70",4.322.707,"172.488.251,00"
07/15/2024,23.877.626,"819.690.499,15",40.676.196,"1.414.403.122,25",12.349.245,"406.013.380,00",42.950.377,"1.431.609.538,05"
07/12/2024,29.247.031,"934.690.736,00",40.210.399,"1.426.191.818,60",2.692.600,"73.604.358,60",14.522.276,"498.135.141,55"
07/11/2024,34.872.565,"1.206.142.037,00",56.133.513,"2.243.279.299,80",38.274.400,"1.172.278.811,50",3.331.004,"122.633.598,25"
07/10/2024,34.289.009,"1.158.116.850,55",53.896.737,"2.118.971.188,76",35.863.723,"2.696.217.263,20",33.348.431,"2.753.065.006,85"
07/09/2024,49.267.362,"1.649.126.026,60",67.732.017,"2.847.382.034,77",33.087.032,"852.939.075,00",4.494.797,"114.033.185,60"
07/08/2024,34.116.737,"1.294.097.803,50",69.057.108,"2.531.009.830,55",11.647.800,"313.052.767,70",45.180.826,"1.335.383.373,30"
07/05/2024,38.048.049,"1.407.722.969,15",45.874.765,"1.679.887.897,70",6.028.900,"134.631.580,00",9.982.079,"241.616.167,40"
07/04/2024,22.823.410,"838.450.289,00",40.975.667,"1.420.162.520,90",5.807.200,"149.693.184,00",5.808.951,"149.787.109,50"
07/03/2024,32.749.216,"1.159.284.951,50",52.269.225,"1.672.276.028,70",3.747.000,"124.514.278,80",5.023.307,"170.806.983,40"
07/02/2024,31.673.590,"1.196.832.816,15",40.051.139,"1.433.982.994,20",10.817.067,"441.277.189,20",4.752.064,"252.753.452,45"
07/01/2024,34.871.336,"1.114.506.034,95",51.649.618,"1.904.636.249,15",6.266.700,"168.063.971,70",6.267.903,"168.130.755,90"
06/28/2024,45.493.256,"1.506.833.971,80",83.997.721,"2.703.930.584,75",13.362.108,"242.608.288,00",6.244.390,"142.810.180,30"
06/27/2024,34.633.318,"1.297.150.823,80",57.338.917,"1.748.358.990,05",62.326.900,"1.082.082.139,10",83.529.811,"1.760.778.326,00"
06/26/2024,43.804.040,"1.561.529.490,10",57.377.498,"2.123.092.529,20",50.591.492,"942.841.424,00",31.546.462,"688.693.968,50"
06/25/2024,62.059.751,"1.996.060.682,50",58.567.632,"2.193.472.580,16",36.453.388,"745.041.510,80",36.663.844,"1.042.579.076,80"
06/24/2024,61.747.081,"1.887.204.156,75",76.719.980,"2.861.252.954,71",24.025.500,"499.124.393,30",9.454.225,"237.163.570,95"
06/21/2024,56.422.594,"1.919.660.560,65",88.477.018,"2.922.811.645,18",29.352.278,"453.173.130,80",27.563.032,"400.756.134,20"
06/20/2024,41.730.919,"1.370.782.992,35",64.054.486,"2.331.440.757,85",17.024.800,"223.141.452,00",17.976.098,"241.721.931,15"
06/19/2024,36.212.698,"1.276.818.228,90",71.384.026,"2.576.941.037,45",3.462.000,"114.910.934,00",13.382.898,"311.264.951,40"
06/18/2024,37.340.350,"1.263.451.421,10",46.944.494,"1.883.537.044,20",2.499.600,"106.247.514,00",2.285.600,"92.717.038,00"
