Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
08/29/2024,43.827.848,"1.208.149.581,91",38.375.843,"1.069.293.240,40",848.868,"31.614.541,29",3.919.290,"79.321.968,06"
08/28/2024,27.926.788,"823.583.327,06",33.496.669,"1.083.955.610,85",3.522.508,"72.478.765,84",5.077.482,"72.788.704,32"
08/27/2024,31.338.001,"993.718.293,06",22.923.029,"699.476.050,49",21.135.472,"381.723.657,12",27.292.543,"402.011.734,92"
08/26/2024,34.078.512,"1.064.679.862,56",26.669.629,"827.769.411,49",18.017.778,"329.678.334,40",17.540.466,"255.416.496,88"
08/23/2024,33.732.682,"984.323.030,63",22.683.259,"616.624.049,62",26.053.767,"815.921.546,74",17.107.992,"323.038.633,25"
08/22/2024,32.583.992,"1.012.984.994,64",30.548.981,"855.241.376,90",21.915.303,"270.479.720,29",28.091.966,"310.118.628,54"
08/21/2024,40.179.242,"1.190.748.927,74",41.184.648,"1.262.092.700,59",57.449.426,"1.270.529.725,00",25.570.241,"400.285.276,95"
08/20/2024,35.515.105,"1.030.045.978,19",36.354.040,"987.110.882,35",1.899.924,"73.970.745,64",729.190,"71.757.951,01"
08/19/2024,30.898.714,"952.842.121,80",29.123.076,"870.379.283,99",11.183.800,"171.899.380,00",10.025.443,"161.895.861,12"
08/16/2024,48.357.757,"1.384.127.977,25",49.678.408,"1.470.275.393,49",1.983.924,"46.378.881,20",8.648.741,"204.366.460,04"
08/15/2024,31.508.119,"980.669.244,84",21.609.724,"603.635.257,20",737.900,"12.422.178,20",7.631.061,"129.696.689,19"
08/14/2024,30.738.221,"953.212.890,98",23.303.596,"657.337.767,09",857.679,"37.655.906,52",4.918.411,"244.246.982,49"
08/13/2024,40.784.205,"1.183.006.771,98",28.546.329,"736.044.073,05",3.478.000,"83.948.690,00",1.822.445,"43.655.604,04"
08/12/2024,33.639.036,"1.029.007.735,70",38.489.597,"1.127.944.235,51",1.517.505,"59.579.531,35",534.336,"31.226.573,22"
08/09/2024,33.597.879,"922.905.599,37",28.586.308,"776.826.595,15",4.030.871,"139.773.190,01",2.205.334,"68.452.699,48"
08/08/2024,37.623.755,"1.033.504.009,70",45.522.920,"1.110.049.247,19",42.008.101,"919.128.829,25",14.960.578,"312.214.390,34"
08/07/2024,26.492.675,"793.945.363,09",41.331.190,"1.065.236.254,65",69.772.230,"1.223.375.180,52",26.065.066,"350.534.583,77"
08/06/2024,54.387.525,"1.603.345.149,50",38.154.823,"1.079.661.610,16",25.357.916,"776.667.391,80",24.517.783,"791.189.287,72"
08/05/2024,80.162.536,"2.412.241.844,00",76.739.018,"2.194.275.269,23",3.360.492,"152.918.869,22",6.757.605,"217.737.602,22"
08/02/2024,58.131.841,"1.713.967.969,77",49.981.693,"1.886.144.700,47",15.064.286,"186.140.597,70",15.547.219,"150.909.732,00"
08/01/2024,82.041.460,"2.469.109.366,30",43.615.620,"1.376.432.845,85",1.966.000,"48.377.070,00",3.136.741,"55.994.248,82"
07/31/2024,34.749.660,"1.091.855.603,15",38.904.707,"1.231.968.107,60",5.737.600,"84.844.950,00",3.086.691,"78.825.883,20"
07/30/2024,26.801.138,"794.324.920,75",24.741.685,"696.109.170,70",3.167.363,"57.637.520,59",336.477,"12.098.284,44"
07/29/2024,22.831.944,"687.951.287,10",21.896.378,"670.867.514,40",4.001.015,"99.177.286,25",8.179.032,"126.207.080,51"
07/26/2024,19.817.384,"648.829.347,65",24.482.865,"757.050.158,25",2.027.300,"46.683.546,10",6.029.029,"276.011.649,20"
07/25/2024,24.811.017,"722.375.507,00",26.408.300,"773.744.866,00",7.679.759,"143.486.329,25",12.295.637,"173.617.118,88"
07/24/2024,57.067.760,"1.897.654.777,35",32.647.185,"952.128.105,26",655.300,"21.036.130,10",8.178.642,"110.071.860,54"
07/23/2024,52.003.871,"1.676.258.709,25",29.200.576,"846.299.167,20",969.889,"53.655.036,57",5.009.411,"123.306.903,47"
07/22/2024,59.585.759,"1.869.632.381,15",32.868.992,"1.043.892.661,30",3.530.700,"133.203.740,00",1.668.461,"86.936.404,80"
07/19/2024,32.809.930,"977.866.922,50",35.529.358,"1.200.046.941,20",1.960.079,"51.632.107,80",10.279.201,"152.819.935,22"
07/18/2024,41.502.442,"1.325.788.546,80",60.126.564,"1.904.851.014,00",2.825.000,"102.725.840,00",39.769.809,"1.188.470.259,62"
07/17/2024,47.507.010,"1.559.668.617,00",85.000.497,"2.354.386.885,12",12.455.493,"160.712.946,08",2.627.693,"74.893.035,33"
07/16/2024,33.662.428,"1.075.990.423,20",35.190.261,"1.092.879.282,80",3.034.268,"72.135.530,88",650.231,"20.601.911,53"
07/15/2024,24.429.160,"778.115.425,40",32.387.530,"973.091.930,90",40.344.431,"1.237.436.463,40",4.323.946,"198.392.243,73"
07/12/2024,27.587.769,"920.725.996,30",33.240.400,"1.026.953.110,21",8.128.137,"187.387.261,40",3.261.033,"80.577.583,62"
07/11/2024,42.114.756,"1.392.905.146,40",46.911.396,"1.249.525.365,90",857.200,"40.801.882,40",24.821.133,"716.097.715,34"
07/10/2024,43.302.385,"1.458.171.154,90",52.971.014,"1.517.711.629,85",6.859.712,"315.211.842,96",8.948.500,"196.509.647,06"
07/09/2024,50.343.980,"1.672.655.774,65",56.014.646,"1.695.982.893,02",4.708.161,"186.848.135,74",7.215.933,"151.268.718,49"
07/08/2024,34.897.085,"1.068.461.786,57",53.804.911,"1.634.491.075,95",47.558.068,"1.288.885.730,00",14.236.108,"283.625.227,42"
07/05/2024,33.012.151,"1.038.562.258,70",55.854.810,"1.477.497.722,86",9.950.000,"200.601.380,00",6.739.946,"153.587.443,96"
07/04/2024,26.000.360,"816.840.471,00",28.017.605,"950.696.669,45",8.832.000,"159.060.550,00",9.898.391,"183.130.295,90"
07/03/2024,27.162.238,"826.764.031,60",34.628.483,"1.215.509.246,54",30.350.100,"639.470.550,00",12.503.382,"235.168.157,40"
07/02/2024,26.912.232,"871.235.950,00",39.647.517,"1.318.581.369,10",9.542.059,"177.852.003,50",12.894.969,"368.231.805,82"
07/01/2024,30.002.367,"957.542.141,75",25.024.892,"823.258.485,50",10.120.400,"164.321.160,00",6.613.364,"217.575.696,25"
06/28/2024,48.902.626,"1.506.732.472,67",31.407.535,"1.037.373.507,00",17.814.300,"447.396.102,00",19.880.302,"375.294.085,53"
06/27/2024,38.187.088,"1.081.450.974,40",46.100.810,"1.622.939.911,65",32.232.500,"880.768.435,00",3.031.821,"58.540.664,94"
06/26/2024,38.173.846,"1.096.681.102,30",48.533.210,"1.635.050.249,00",24.645.000,"476.355.601,40",18.688.385,"421.671.244,42"
06/25/2024,36.714.880,"1.111.525.513,50",46.200.320,"1.566.753.109,00",29.747.400,"844.997.577,80",8.956.145,"261.297.006,91"
06/24/2024,71.372.519,"2.169.376.999,51",53.435.085,"1.609.065.798,29",10.279.853,"445.584.836,20",9.304.172,"217.141.542,13"
06/21/2024,22.936.799,"680.646.741,71",45.322.407,"1.508.536.085,05",4.890.800,"104.859.100,00",2.678.512,"68.339.311,65"
06/20/2024,71.523.626,"2.184.946.432,25",43.393.856,"1.487.534.344,30",4.977.000,"118.657.100,00",5.323.986,"170.446.766,15"
06/19/2024,42.550.300,"1.412.965.744,99",54.566.051,"1.860.058.442,85",44.707.111,"786.781.793,90",38.887.882,"705.420.890,71"
06/18/2024,30.071.252,"990.722.749,80",35.615.868,"1.212.856.477,25",50.691.832,"875.904.035,00",41.657.933,"753.491.507,65"
06/17/2024,37.940.840,"1.211.254.557,50",47.972.367,"1.527.653.694,40",34.498.662,"778.916.384,57",36.351.663,"785.222.801,07"
06/14/2024,54.723.452,"1.755.500.291,50",38.122.676,"1.246.523.930,04",19.194.091,"443.300.495,97",15.983.593,"348.196.178,37"
06/13/2024,56.970.556,"1.812.348.622,51",43.885.327,"1.295.540.541,88",8.255.545,"370.616.767,35",1.021.606,"20.205.710,59"
06/12/2024,54.097.665,"1.795.221.811,50",51.417.841,"1.773.377.134,85",31.828.236,"671.621.858,60",24.887.477,"492.077.534,00"
06/11/2024,46.587.292,"1.555.807.514,30",37.854.124,"1.355.356.437,33",17.674.363,"571.013.049,27",7.574.273,"128.002.676,77"
06/10/2024,37.183.900,"1.175.318.714,65",29.259.229,"931.577.452,63",11.096.958,"185.344.631,98",11.863.357,"370.919.820,63"
06/07/2024,25.480.253,"837.365.069,30",29.017.586,"1.085.745.927,89",7.255.844,"167.035.772,64",7.227.084,"188.365.441,09"
06/06/2024,32.288.781,"1.090.421.385,75",41.303.273,"1.486.041.947,02",14.139.437,"232.388.263,22",17.068.936,"253.014.371,42"
06/05/2024,52.093.448,"1.634.135.984,05",53.050.777,"1.737.714.101,95",10.481.789,"275.941.640,56",24.729.971,"424.892.334,32"
06/04/2024,44.866.949,"1.337.647.301,05",55.244.344,"1.818.454.377,38",2.867.283,"182.501.481,40",13.445.016,"485.826.668,58"
06/03/2024,48.471.725,"1.549.618.942,80",46.432.655,"1.550.464.235,80",14.941.900,"307.086.615,00",16.207.788,"270.307.667,21"
05/31/2024,32.302.512,"1.072.772.372,80",29.917.258,"935.135.274,95",9.485.000,"143.701.310,00",59.856.436,"796.834.222,75"
05/30/2024,41.059.436,"1.178.724.164,50",54.485.302,"1.568.215.217,15",15.699.843,"383.359.833,38",3.809.152,"112.347.185,73"
05/29/2024,43.808.736,"1.223.048.117,90",59.089.033,"1.827.284.746,45",9.290.086,"222.691.114,22",9.099.411,"243.524.504,67"
05/28/2024,42.211.851,"1.147.426.409,70",46.251.134,"1.454.996.382,20",13.197.144,"246.825.685,49",15.437.769,"216.424.801,97"
05/27/2024,34.718.232,"1.031.912.602,85",37.709.348,"1.227.629.485,70",18.910.322,"392.773.169,46",36.636.785,"639.349.619,22"
05/24/2024,55.932.707,"1.791.077.841,20",88.477.551,"2.822.324.109,91",27.712.859,"485.854.716,84",36.047.613,"720.771.692,39"
05/23/2024,45.501.842,"1.484.800.185,80",45.038.469,"1.517.238.664,75",1.985.775,"28.938.960,75",5.704.145,"199.688.479,52"
