Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
10/07/2024,382.270.560,"9.096.008.091,44",356.541.727,"8.500.584.581,49",27.804.704,"554.314.408,40",35.657.388,"822.285.520,55"
10/04/2024,441.087.599,"10.369.193.697,56",443.749.195,"10.502.570.684,79",36.099.166,"858.834.967,40",29.018.180,"584.425.146,10"
10/03/2024,802.972.187,"18.204.118.864,84",819.665.094,"18.928.691.190,01",14.891.966,"570.822.127,57",24.109.455,"833.963.023,30"
10/02/2024,538.027.342,"12.581.932.389,10",543.519.095,"12.782.305.461,69",57.705.411,"1.523.145.003,46",81.044.588,"2.345.505.423,60"
10/01/2024,725.223.663,"16.848.275.597,79",749.660.363,"17.800.742.777,08",52.767.740,"1.276.726.200,30",38.395.720,"1.048.854.210,47"
09/30/2024,570.224.522,"12.846.665.649,63",546.886.206,"12.460.814.753,56",50.944.193,"1.032.251.699,79",48.646.630,"981.302.415,10"
09/27/2024,706.048.714,"16.191.126.683,25",721.203.207,"16.669.855.723,88",48.743.108,"1.641.360.256,74",39.286.903,"1.528.457.585,90"
09/26/2024,681.127.542,"15.781.472.506,36",744.339.375,"17.651.243.584,30",38.711.418,"855.075.997,35",33.627.951,"712.865.630,70"
09/25/2024,709.233.805,"16.763.440.349,24",727.051.483,"17.043.952.296,37",67.980.048,"1.645.066.112,12",66.575.867,"1.538.856.141,97"
09/24/2024,380.991.542,"9.495.624.013,46",389.221.998,"9.837.181.571,41",238.777.241,"4.636.455.234,65",36.632.980,"1.084.648.992,15"
09/23/2024,353.892.041,"8.582.729.682,55",347.279.318,"8.520.218.838,97",75.116.906,"1.593.072.212,63",69.362.600,"1.420.597.310,46"
09/20/2024,630.403.426,"15.856.523.312,74",625.047.383,"15.738.885.606,81",44.841.830,"1.313.033.005,50",25.643.220,"833.534.880,15"
09/19/2024,355.804.297,"9.131.683.433,96",383.362.795,"9.939.342.620,96",114.969.050,"2.020.836.377,38",39.045.370,"896.530.513,70"
09/18/2024,463.002.001,"11.915.492.155,46",467.982.046,"12.217.082.078,68",188.895.123,"3.460.916.811,80",92.991.258,"2.083.880.375,50"
09/17/2024,342.245.292,"8.145.665.484,90",357.813.619,"8.620.863.580,03",157.185.937,"2.684.666.194,29",168.422.581,"2.901.522.599,75"
09/16/2024,352.862.459,"8.774.149.977,66",348.921.495,"8.820.838.256,50",89.055.290,"1.861.971.673,03",88.804.094,"1.792.502.743,60"
09/13/2024,285.830.785,"7.270.814.704,03",295.408.567,"7.487.876.589,58",95.395.950,"1.853.453.443,90",81.348.865,"1.404.937.610,80"
09/12/2024,301.724.984,"7.364.369.668,88",297.772.677,"7.387.176.940,21",38.034.931,"745.862.181,63",29.363.746,"605.485.590,45"
09/11/2024,407.065.276,"9.116.372.405,22",406.792.704,"9.266.558.804,15",57.179.374,"1.167.922.697,54",56.163.202,"1.288.850.844,05"
