Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND)
08/17/2023,"7.300.000,00","361.252.500,00"
08/16/2023,"970.000,00","31.353.600,00"
08/15/2023,"-1.575.800,00","-86.271.040,00"
08/14/2023,"-5.411.100,00","-253.733.350,00"
08/11/2023,"146.000,00","8.815.772,00"
08/10/2023,"-911.500,00","-18.455.275,00"
08/09/2023,"1.600.000,00","124.640.000,00"
08/08/2023,"-3.813.100,00","-222.432.823,40"
08/07/2023,"-1.900.000,00","-81.450.000,00"
08/04/2023,"-3.627.740,00","-181.632.152,00"
08/03/2023,"2.102.000,00","59.058.240,00"
08/02/2023,"16.670.893,00","226.516.248,75"
08/01/2023,"10.907.900,00","140.220.340,00"
07/31/2023,"12.094.000,00","159.897.904,00"
07/28/2023,"14.815.000,00","242.192.720,00"
07/27/2023,"13.668.000,00","334.830.450,00"
07/26/2023,"8.763.600,00","86.123.817,60"
07/25/2023,"-477.000,00","-209.387.150,00"
07/24/2023,"745.000,00","14.334.500,00"
07/21/2023,"-1.219.200,00","113.878.205,80"
07/20/2023,"-2.057.284,00","-20.067.190,80"
07/19/2023,"-2.230.000,00","-189.940.850,00"
07/18/2023,"641.284,00","135.672.634,80"
07/17/2023,"1.250.000,00","194.370.000,00"
07/14/2023,"427.100,00","17.920.328,70"
07/13/2023,"3.138.500,00","242.012.013,70"
07/12/2023,"2.000.000,00","38.627.500,00"
07/11/2023,"2.331.700,00","-13.284.736,30"
07/10/2023,"-750.000,00","-32.827.100,00"
07/07/2023,"-37.594.803,00","-984.073.626,50"
07/06/2023,"2.209.000,00","-3.058.364,00"
07/05/2023,"3.203.428,00","61.983.537,20"
07/04/2023,"-6.050.000,00","-371.175.000,00"
07/03/2023,"-910.000,00","810.000,00"
06/30/2023,"4.500.000,00","125.131.500,00"
06/29/2023,"1.235.975,00","22.736.777,50"
06/28/2023,"-5.042.856,00","-74.774.148,70"
06/27/2023,"-3.464.200,00","-332.869.200,00"
06/26/2023,"-563.300,00","12.803.416,70"
06/23/2023,"0,00","0,00"
06/22/2023,"-11.199.000,00","-585.366.330,00"
06/21/2023,"2.827.000,00","14.585.290,00"
06/20/2023,"908.100,00","-11.326.985,00"
06/19/2023,"5.595.000,00","84.476.710,00"
06/16/2023,"4.495.699,00","103.627.828,70"
06/15/2023,"-1.172.600,00","-55.781.030,00"
06/14/2023,"2.451.600,00","86.927.160,00"
06/13/2023,"-1.500.000,00","-58.850.000,00"
06/12/2023,"-10.800.730,00","-168.744.124,01"
06/09/2023,"-4.447.000,00","-102.124.361,60"
06/08/2023,"5.598.230,00","73.979.123,00"
06/07/2023,"5.650.000,00","127.547.750,00"
06/06/2023,"-2.212.740,00","-54.109.062,56"
06/05/2023,"-1.641.400,00","-2.897.615,00"
06/02/2023,"1.070.000,00","107.552.880,00"
06/01/2023,"-280.000,00","2.469.570,00"
05/31/2023,"-2.976.550,00","-52.563.680,00"
05/30/2023,"-28.893.650,00","-318.300.470,00"
05/29/2023,"-815.668,00","-11.435.020,00"
05/26/2023,"-2.763.100,00","-86.661.116,40"
05/25/2023,"-1.250.000,00","-23.812.500,00"
05/24/2023,"-2.109.700,00","-46.150.743,80"
05/23/2023,"2.000.000,00","27.600.000,00"
05/22/2023,"-170.400,00","2.920.611,60"
05/19/2023,"23.428.786,00","1.244.558.345,52"
05/18/2023,"-203.300,00","-17.535.250,60"
05/17/2023,"1.699.600,00","628.084,40"
05/16/2023,"-220.810,00","-40.318.070,00"
05/15/2023,"34.900,00","-975.055,70"
05/12/2023,"1.560.000,00","5.528.470,00"
05/11/2023,"65.700,00","12.562.832,10"
05/10/2023,"1.714.800,00","12.284.489,40"
05/09/2023,"85.100,00","3.819.543,30"
05/08/2023,"614.700,00","-3.715.558,60"
05/05/2023,"194.800,00","17.749.034,80"
05/04/2023,"880.000,00","3.564.000,00"
04/28/2023,"0,00","0,00"
04/27/2023,"910.537,00","-153.766,76"
04/26/2023,"1.300.500,00","91.138.791,50"
04/25/2023,"2.470.470,00","-1.239.732,00"
04/24/2023,"2.107.600,00","55.637.580,00"
04/21/2023,"2.084.000,00","8.964.450,00"
04/20/2023,"-100.000,00","-736.400,00"
04/19/2023,"-28.996.554,00","-372.819.610,00"
04/18/2023,"2.370.000,00","8.621.000,00"
04/17/2023,"95.000,00","1.876.250,00"
04/14/2023,"-150.000,00","-413.650,00"
04/13/2023,"2.668.100,00","24.672.498,10"
04/12/2023,"313.000,00","1.736.700,00"
04/11/2023,"-300.000,00","-4.863.300,00"
04/10/2023,"2.759.928,00","15.943.397,60"
04/07/2023,"-100.000,00","-8.590.000,00"
04/06/2023,"-40.000,00","-795.880,00"
04/05/2023,"2.550.000,00","9.919.500,00"
04/04/2023,"0,00","0,00"
04/03/2023,"-3.500,00","-165.570,00"
03/31/2023,"1.206.000,00","36.172.030,00"
03/30/2023,"-550.033,00","-6.257.288,35"
03/29/2023,"774.996,00","15.005.232,80"
03/28/2023,"-300.000,00","-4.726.200,00"
03/27/2023,"-400.000,00","-6.284.400,00"
03/24/2023,"-38.100.000,00","-463.176.300,00"
03/23/2023,"3.733.600,00","35.409.156,00"
03/22/2023,"-12.300.000,00","-157.240.500,00"
03/21/2023,"-44.000.000,00","-555.853.500,00"
03/20/2023,"-41.100.000,00","-528.358.600,00"
03/17/2023,"-29.259.700,00","-357.174.700,00"
03/16/2023,"19.988,00","-3.681.778,00"
03/15/2023,"30.900,00","2.249.520,00"
03/14/2023,"-1.600.000,00","-28.341.000,00"
03/13/2023,"-1.885.000,00","-30.508.950,00"
03/10/2023,"257.800,00","4.759.503,60"
03/09/2023,"82.800,00","3.999.420,00"
03/08/2023,"-1.231.700,00","-17.268.500,00"
03/07/2023,"0,00","0,00"
03/06/2023,"210.500,00","5.301.950,00"
03/03/2023,"-412.900,00","-9.161.838,10"
03/02/2023,"-25.000,00","-4.719.650,00"
03/01/2023,"-841.490,00","-13.050.210,00"
02/28/2023,"-429.200,00","-6.722.540,00"
02/27/2023,"-1.246.400,00","-18.025.436,80"
02/24/2023,"117.338,00","2.065.218,80"
02/23/2023,"-2.629.420,00","-59.146.998,20"
02/22/2023,"0,00","0,00"
02/21/2023,"-150.000,00","-2.290.000,00"
02/20/2023,"0,00","0,00"
02/17/2023,"117.300,00","13.040.391,90"
02/16/2023,"500.000,00","11.900.000,00"
02/15/2023,"21.800,00","1.708.610,00"
02/14/2023,"91.077,00","8.021.750,10"
02/13/2023,"-20.000,00","-391.000,00"
02/10/2023,"0,00","0,00"
02/09/2023,"-974.100,00","-83.430.739,30"
02/08/2023,"354.482,00","11.101.727,60"
02/07/2023,"-262.300,00","-6.874.455,00"
02/06/2023,"-100.000,00","-1.532.200,00"
02/03/2023,"936.500,00","16.352.549,50"
02/02/2023,"0,00","0,00"
02/01/2023,"48.140,00","7.338.590,80"
01/31/2023,"249.700,00","23.252.563,40"
01/30/2023,"-292.300,00","-17.302.935,90"
01/27/2023,"-600.000,00","-7.080.000,00"
01/19/2023,"500.000,00","8.190.000,00"
01/18/2023,"3.532.800,00","63.650.540,00"
01/17/2023,"178.200,00","16.321.119,80"
01/16/2023,"8.000.000,00","124.736.000,00"
01/13/2023,"-133.115.107,00","-3.393.556.978,50"
01/12/2023,"-290.070,00","-11.369.135,00"
01/11/2023,"-100.000,00","-1.502.000,00"
01/10/2023,"2.399.935,00","36.581.017,50"
01/09/2023,"2.550.000,00","39.680.000,00"
01/06/2023,"4.118.400,00","70.152.880,00"
01/05/2023,"-100.000,00","-1.499.700,00"
01/04/2023,"6.700.000,00","124.128.400,00"
01/03/2023,"-48.310,00","-534.310,00"
12/30/2022,"130.000,00","42.920.440,00"
12/29/2022,"-5.700.000,00","-89.418.600,00"
12/28/2022,"-700.000,00","-91.935.000,00"
12/27/2022,"-220.900,00","-13.300.530,00"
12/26/2022,"6.400.000,00","119.606.300,00"
12/23/2022,"-450.000,00","-61.890.000,00"
12/22/2022,"-102.046.489,00","-2.853.291.292,00"
12/21/2022,"43.400.000,00","1.219.238.300,00"
12/20/2022,"28.030.000,00","787.987.100,00"
12/19/2022,"-12.750.000,00","-188.130.000,00"
12/16/2022,"0,00","0,00"
12/15/2022,"0,00","0,00"
12/14/2022,"0,00","0,00"
12/13/2022,"261.000,00","21.430.024,00"
12/12/2022,"2.148.600,00","191.641.270,00"
12/09/2022,"82.000,00","2.053.426,00"
12/08/2022,"-1.180.000,00","-29.004.000,00"
12/07/2022,"-15.300,00","-473.507,00"
12/06/2022,"225.000,00","4.539.500,00"
12/05/2022,"521.600,00","49.977.020,40"
12/02/2022,"2.040.100,00","21.504.954,50"
12/01/2022,"-283.200,00","39.282.400,00"
11/30/2022,"173.800,00","12.239.206,00"
11/29/2022,"522.400,00","79.317.920,00"
11/28/2022,"100.000,00","3.700.000,00"
11/25/2022,"300.000,00","10.500.000,00"
11/24/2022,"-1.995.000,00","-22.781.250,00"
11/23/2022,"81.900,00","1.975.215,00"
11/22/2022,"4.156.500,00","69.635.075,00"
11/21/2022,"2.429.800,00","48.493.670,00"
11/18/2022,"-2.577.562,00","24.711.591,75"
11/17/2022,"2.628.600,00","70.352.600,00"
11/16/2022,"1.752.300,00","31.299.597,40"
11/15/2022,"3.577.500,00","57.981.544,40"
11/14/2022,"938.700,00","31.945.551,60"
11/11/2022,"25.163.300,00","458.513.160,00"
11/10/2022,"-2.931.000,00","-58.108.940,00"
11/09/2022,"17.298.278,00","211.783.648,20"
11/08/2022,"150.500,00","19.007.304,50"
11/07/2022,"-1.644.900,00","-17.558.232,90"
