Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND)
07/24/2019,"-4.417.340,00","4.135.970,00"
07/23/2019,"-20.000,00","-408.000,00"
07/22/2019,"4.031.045,00","72.558.810,00"
07/19/2019,"188.000,00","7.183.700,00"
07/18/2019,"-49.000,00","-1.016.750,00"
07/17/2019,"-440.000,00","-16.899.000,00"
07/16/2019,"-1.281.917,00","-76.199.327,67"
07/15/2019,"-25.000,00","-521.250,00"
07/12/2019,"215.000,00","12.460.250,00"
07/11/2019,"177.000,00","21.162.750,00"
07/10/2019,"1.980.000,00","28.707.000,00"
07/09/2019,"350.000,00","6.035.400,00"
07/08/2019,"1.690.000,00","33.102.000,00"
07/05/2019,"-1.330.000,00","-125.395.000,00"
07/04/2019,"5.231.900,00","90.791.765,00"
07/03/2019,"-690.007,00","-16.558.647,15"
07/02/2019,"-3.571.550,00","-73.857.322,50"
07/01/2019,"-1.469.902,00","-14.180.594,60"
06/28/2019,"-240.000,00","1.993.260,00"
06/27/2019,"-20.000,00","-864.500,00"
06/26/2019,"476.500,00","21.761.841,50"
06/25/2019,"-711.230,00","-15.693.359,00"
06/24/2019,"176.510,00","1.970.163,15"
06/21/2019,"1.120.000,00","10.636.800,00"
06/20/2019,"3.900.000,00","55.277.000,00"
06/19/2019,"1.268.690,00","16.222.800,00"
06/18/2019,"-332.130,00","-8.314.944,00"
06/17/2019,"0,00","-3.178.000,00"
06/14/2019,"-5.800.000,00","-106.440.000,00"
06/13/2019,"325.000,00","6.291.500,00"
06/12/2019,"1.100.000,00","15.888.500,00"
06/11/2019,"2.458.027,00","26.156.746,00"
06/10/2019,"1.179.997,00","14.180.631,45"
06/07/2019,"1.450.000,00","19.945.000,00"
06/06/2019,"666.828,00","-23.977.643,90"
06/05/2019,"910.000,00","3.491.000,00"
06/04/2019,"0,00","0,00"
06/03/2019,"0,00","0,00"
05/31/2019,"0,00","0,00"
05/30/2019,"4.806.150,00","65.430.800,00"
05/29/2019,"811.270,00","19.228.040,00"
05/28/2019,"900.000,00","12.429.000,00"
05/27/2019,"-200.000,00","-3.801.900,00"
05/24/2019,"1.249.390,00","16.883.067,00"
05/23/2019,"0,00","0,00"
05/22/2019,"1.600.000,00","23.941.500,00"
05/21/2019,"49.725.658,00","5.777.153.309,00"
05/20/2019,"35.000,00","2.747.500,00"
05/17/2019,"28.950,00","3.474.000,00"
05/16/2019,"-1.555.002,00","-27.765.013,00"
05/15/2019,"811.050,00","42.523.800,00"
05/14/2019,"-400.000,00","-5.787.000,00"
05/13/2019,"-200.000,00","-2.903.000,00"
05/10/2019,"160.000,00","2.464.100,00"
05/09/2019,"1.400.000,00","-4.707.750,00"
05/08/2019,"-1.200.000,00","8.275.000,00"
05/07/2019,"1.488.940,00","77.573.774,00"
05/06/2019,"0,00","0,00"
05/03/2019,"0,00","0,00"
05/02/2019,"0,00","0,00"
04/26/2019,"34.910,00","1.822.302,00"
04/25/2019,"-200.000,00","-8.000.000,00"
04/24/2019,"-350.000,00","13.875.400,00"
04/23/2019,"680.000,00","19.985.000,00"
04/22/2019,"1.000.000,00","31.950.000,00"
04/19/2019,"0,00","0,00"
04/18/2019,"0,00","0,00"
04/17/2019,"563.060,00","13.112.392,00"
04/16/2019,"300.000,00","4.389.500,00"
04/12/2019,"-20.004,00","-378.076,00"
04/11/2019,"-250.000,00","-4.140.500,00"
04/10/2019,"200.000,00","2.980.400,00"
04/09/2019,"-756.340,00","-41.692.430,00"
04/08/2019,"130.000,00","11.320.660,00"
04/05/2019,"500.000,00","6.008.000,00"
04/04/2019,"300.000,00","4.473.600,00"
04/03/2019,"3.851.800,00","43.028.380,00"
04/02/2019,"2.414.000,00","119.501.182,00"
04/01/2019,"-1.870.000,00","1.965.360,00"
03/29/2019,"1.510.000,00","30.320.760,00"
03/28/2019,"-49.820,00","-16.879.622,00"
03/27/2019,"2.287.290,00","68.873.798,00"
03/26/2019,"-1.196.770,00","-26.134.152,00"
03/25/2019,"1.160.900,00","14.813.500,00"
03/22/2019,"840.000,00","-8.352.100,00"
03/21/2019,"2.330.000,00","35.541.500,00"
03/20/2019,"2.931.700,00","58.077.743,00"
03/19/2019,"1.714.252,00","36.688.524,00"
03/18/2019,"974.980,00","17.911.036,00"
03/15/2019,"2.907.860,00","217.520.160,00"
03/14/2019,"-2.866.315,00","-68.921.617,00"
03/13/2019,"2.495.000,00","33.366.250,00"
03/12/2019,"462.940,00","9.029.519,00"
03/11/2019,"2.818.880,00","42.718.532,00"
03/08/2019,"3.600.000,00","54.663.000,00"
03/07/2019,"5.200.000,00","71.248.400,00"
03/06/2019,"3.204.000,00","43.199.674,00"
03/05/2019,"2.480.000,00","39.402.100,00"
03/04/2019,"-40.000,00","-1.360.000,00"
03/01/2019,"-2.090.435,00","-58.724.658,00"
02/28/2019,"-6.611.570,00","-117.726.175,00"
02/27/2019,"-751.440,00","8.143.075,00"
02/26/2019,"6.290.000,00","94.597.200,00"
02/25/2019,"1.210.000,00","16.634.500,00"
02/22/2019,"580.000,00","452.600,00"
02/21/2019,"5.090.400,00","68.135.500,00"
02/20/2019,"2.602.200,00","141.953.160,00"
02/19/2019,"4.028.860,00","90.170.369,00"
02/18/2019,"1.027.970,00","-65.159.160,00"
02/15/2019,"1.575.950,00","-415.050,00"
02/14/2019,"13.622.263,00","1.165.360.092,00"
02/13/2019,"-1.752.000,00","-18.849.700,00"
02/12/2019,"-1.055.008,00","-69.490.688,00"
02/11/2019,"-100.000,00","-8.510.000,00"
02/01/2019,"-812.000,00","-15.836.000,00"
01/31/2019,"-90.000,00","-35.924.000,00"
01/30/2019,"-100.000,00","-8.500.000,00"
01/29/2019,"450.000,00","-2.502.950,00"
01/28/2019,"1.100.000,00","15.736.000,00"
01/25/2019,"-950.000,00","-93.842.000,00"
01/24/2019,"400.000,00","5.692.400,00"
01/23/2019,"0,00","-21.244.500,00"
01/22/2019,"5.496.095,00","81.555.840,00"
01/21/2019,"0,00","0,00"
01/18/2019,"265.365,00","-12.321.351,00"
01/17/2019,"0,00","0,00"
01/16/2019,"6.169.000,00","565.080.400,00"
01/15/2019,"250.000,00","-2.010.250,00"
01/14/2019,"40.000,00","3.584.040,00"
01/11/2019,"100.000,00","1.420.000,00"
01/10/2019,"-1.341.474,00","-36.779.850,00"
01/09/2019,"1.355.000,00","33.609.075,00"
01/08/2019,"0,00","0,00"
01/07/2019,"0,00","0,00"
01/04/2019,"0,00","0,00"
01/03/2019,"-79.060,00","-9.675.046,00"
01/02/2019,"-180.000,00","2.294.200,00"
12/28/2018,"359.650,00","13.620.575,00"
12/27/2018,"340.000,00","9.535.500,00"
12/26/2018,"590.000,00","10.643.800,00"
12/25/2018,"-1.706.690,00","-24.634.083,00"
12/24/2018,"181.920,00","15.134.829,00"
12/21/2018,"3.069.000,00","59.297.449,00"
12/20/2018,"500.000,00","10.357.700,00"
12/19/2018,"0,00","0,00"
12/18/2018,"3.166.000,00","294.890.160,00"
12/17/2018,"-2.883.882,00","-54.303.204,00"
12/14/2018,"824.979,00","29.525.072,00"
12/13/2018,"359.249,00","-40.161.895,00"
12/12/2018,"-292.410,00","-8.791.313,00"
12/11/2018,"350.000,00","6.035.400,00"
12/10/2018,"2.650.000,00","40.208.100,00"
12/07/2018,"-209.000,00","-17.722.782,00"
12/06/2018,"-2.525.120,00","-63.500.120,00"
12/05/2018,"-322.637,00","-8.383.636,00"
12/04/2018,"238.999,00","29.887.435,00"
12/03/2018,"0,00","0,00"
11/30/2018,"989.653,00","53.163.170,00"
11/29/2018,"150.000,00","19.057.350,00"
11/28/2018,"200.000,00","25.590.000,00"
11/27/2018,"0,00","0,00"
11/26/2018,"0,00","0,00"
11/23/2018,"2.699.998,00","83.233.199,00"
11/22/2018,"0,00","0,00"
11/21/2018,"-500.000,00","-49.500.000,00"
11/20/2018,"-1.105.597,00","-45.122.880,00"
11/19/2018,"0,00","0,00"
11/16/2018,"447.500,00","11.858.750,00"
11/15/2018,"-3.220.000,00","-318.780.000,00"
11/14/2018,"-6.341.208,00","-138.477.180,00"
11/13/2018,"234.580,00","-1.611.226,00"
11/12/2018,"-1.750.000,00","-197.102.250,00"
11/09/2018,"2.390.830,00","79.211.540,00"
11/08/2018,"0,00","0,00"
11/07/2018,"-1.049.560,00","-3.384.043,00"
11/06/2018,"-2.101.460,00","-42.185.834,00"
11/05/2018,"-1.558.329,00","-59.450.667,00"
11/02/2018,"555.952,00","5.782.746,00"
11/01/2018,"40.000,00","1.344.000,00"
10/31/2018,"-270.000,00","-24.110.000,00"
10/30/2018,"-88.000,00","3.688.000,00"
10/29/2018,"-1.000.000,00","-14.327.500,00"
10/26/2018,"-1.600.000,00","-27.355.300,00"
10/25/2018,"-540.000,00","-23.760.000,00"
10/24/2018,"0,00","0,00"
10/23/2018,"0,00","0,00"
10/22/2018,"-300.000,00","-4.603.800,00"
10/19/2018,"0,00","0,00"
10/18/2018,"-55.000,00","-6.344.500,00"
10/17/2018,"261.290,00","9.960.495,00"
10/16/2018,"-1.564.000,00","-213.604.672,00"
10/15/2018,"-1.078.020,00","-18.842.829,00"
10/12/2018,"6.136.012,00","146.026.417,00"
10/11/2018,"-420.000,00","-6.777.000,00"
10/10/2018,"600.000,00","23.100.000,00"
10/09/2018,"644.170,00","33.739.024,00"
10/08/2018,"-400.000,00","7.092.800,00"
10/05/2018,"34.955.290,00","3.090.155.988,00"
10/04/2018,"-57.010,00","23.075.283,00"
10/03/2018,"427.000,00","12.511.100,00"
10/02/2018,"2.397.330,00","280.158.378,00"
10/01/2018,"-962.160,00","-131.149.143,00"
09/28/2018,"591.821,00","17.035.740,00"
09/27/2018,"-650.005,00","-6.630.051,00"
09/26/2018,"-1.600.000,00","-34.720.000,00"
09/25/2018,"58.250,00","5.491.519,00"
09/24/2018,"500.000,00","32.636.000,00"
09/21/2018,"-116.021,00","-9.154.057,00"
09/20/2018,"-106.530,00","17.082.218,00"
09/19/2018,"721.000,00","22.351.000,00"
09/18/2018,"50.000,00","1.659.750,00"
09/17/2018,"-350.000,00","-21.805.000,00"
09/14/2018,"1.000.000,00","31.000.000,00"
09/13/2018,"-20.006,00","-313.094,00"
09/12/2018,"575.000,00","18.010.000,00"
09/11/2018,"876.690,00","65.547.694,00"
09/10/2018,"443.302,00","14.859.619,00"
09/07/2018,"729.040,00","24.585.248,00"
09/06/2018,"295.000,00","4.390.120,00"
09/05/2018,"400.000,00","-22.998.500,00"
09/04/2018,"230.000,00","2.791.000,00"
08/31/2018,"703.660,00","19.181.022,00"
08/30/2018,"1.887.800,00","39.576.360,00"
08/29/2018,"1.500.000,00","38.962.000,00"
08/28/2018,"1.800.000,00","28.713.000,00"
08/27/2018,"575.000,00","18.436.500,00"
08/24/2018,"-248.700,00","1.504.750,00"
08/23/2018,"60.000,00","1.837.500,00"
08/22/2018,"1.119.830,00","52.440.486,00"
08/21/2018,"667.400,00","48.825.100,00"
08/20/2018,"84.800,00","4.144.080,00"
08/17/2018,"-245.000,00","-7.362.250,00"
08/16/2018,"-147.568,00","-34.520.067,00"
08/15/2018,"240.810,00","21.159.519,00"
08/14/2018,"374.800,00","13.006.020,00"
08/13/2018,"64.530,00","10.265.655,00"
08/10/2018,"-1.031.815,00","-50.278.581,00"
08/09/2018,"-280.000,00","-34.159.700,00"
08/08/2018,"200.000,00","3.082.300,00"
08/07/2018,"221.480,00","51.031.810,00"
08/06/2018,"0,00","0,00"
08/03/2018,"609.580,00","11.563.110,00"
08/02/2018,"240.000,00","2.871.400,00"
08/01/2018,"-1.975.000,00","-232.630.000,00"
07/31/2018,"-50.000,00","-7.550.000,00"
07/30/2018,"322.200,00","9.662.340,00"
07/27/2018,"650.720,00","11.057.380,00"
07/26/2018,"930.000,00","18.239.000,00"
07/25/2018,"-70.170,00","-1.978.794,00"
07/24/2018,"-1.960.000,00","-219.240.000,00"
07/23/2018,"0,00","0,00"
07/20/2018,"-1.955.800,00","-220.680.630,00"
07/19/2018,"2.000.000,00","58.000.000,00"
07/18/2018,"2.000.000,00","67.800.000,00"
07/17/2018,"212.000,00","7.208.000,00"
07/16/2018,"456.980,00","15.765.810,00"
07/13/2018,"252.400,00","3.033.220,00"
07/12/2018,"722.000,00","4.844.500,00"
07/11/2018,"1.810.000,00","26.295.700,00"
07/10/2018,"-650.000,00","-2.725.900,00"
07/09/2018,"-197.900,00","-2.735.820,00"
07/06/2018,"2.747.110,00","72.748.740,00"
07/05/2018,"322.050,00","4.961.378,00"
07/04/2018,"2.000.000,00","27.636.000,00"
07/03/2018,"-1.987.980,00","-45.011.040,00"
07/02/2018,"100.000,00","1.511.500,00"
06/29/2018,"864.240,00","25.075.808,00"
06/28/2018,"467.750,00","8.975.765,00"
06/27/2018,"-8.897.060,00","-102.615.130,00"
06/26/2018,"-373.080,00","26.121.160,00"
06/25/2018,"680.000,00","28.863.000,00"
06/22/2018,"-825.770,00","-9.843.680,00"
06/21/2018,"-728.640,00","-22.122.984,00"
06/20/2018,"318.000,00","7.537.000,00"
06/19/2018,"-1.731.830,00","-25.561.598,00"
06/18/2018,"-3.500.000,00","-57.245.000,00"
06/15/2018,"-2.643.150,00","-205.026.325,00"
06/14/2018,"-1.300.000,00","-21.595.500,00"
06/13/2018,"41.000,00","-4.885.380,00"
06/12/2018,"-2.519.000,00","-270.101.000,00"
06/11/2018,"-3.881.970,00","-61.383.201,00"
06/08/2018,"-1.619.000,00","-28.184.620,00"
06/07/2018,"-646.350,00","20.274.320,00"
06/06/2018,"1.110.180,00","93.734.940,00"
06/05/2018,"-1.291.000,00","-8.828.758,00"
06/04/2018,"200.000,00","27.138.000,00"
06/01/2018,"-1.986.430,00","-46.396.450,00"
05/31/2018,"2.393.590,00","46.041.740,00"
05/30/2018,"-1.390.000,00","-21.663.600,00"
05/29/2018,"-1.595.150,00","-16.038.590,00"
05/28/2018,"160.000,00","13.979.620,00"
05/25/2018,"-7.240.000,00","-179.828.240,00"
05/24/2018,"1.100.000,00","17.401.500,00"
05/23/2018,"1.300.000,00","-262.806.000,00"
05/22/2018,"-1.961.300,00","-233.875.695,00"
05/21/2018,"471.790,00","10.772.350,00"
05/18/2018,"423.550,00","-21.276.225,00"
05/17/2018,"776.115,00","-17.131.323,00"
05/16/2018,"10.319.547,00","62.666.481,00"
05/15/2018,"577.089,00","18.343.265,00"
05/14/2018,"400.000,00","6.760.800,00"
05/11/2018,"1.965.000,00","31.745.160,00"
05/10/2018,"33.523.677,00","1.151.340.057,00"
05/09/2018,"200.000,00","4.667.390,00"
05/08/2018,"200.000,00","21.313.000,00"
05/07/2018,"1.070.000,00","43.659.480,00"
05/04/2018,"-553.890,00","-22.655.545,00"
05/03/2018,"812.000,00","49.813.756,00"
05/02/2018,"773.000,00","24.942.810,00"
04/27/2018,"1.450.000,00","24.230.600,00"
04/26/2018,"3.550.000,00","73.310.200,00"
04/24/2018,"1.889.200,00","32.918.480,00"
04/23/2018,"3.175.000,00","99.148.740,00"
04/20/2018,"2.399.742,00","76.023.377,00"
04/19/2018,"2.995.000,00","96.127.810,00"
04/18/2018,"1.641.650,00","92.363.008,00"
04/17/2018,"1.567.390,00","64.100.690,00"
04/16/2018,"2.897.700,00","132.138.150,00"
04/13/2018,"1.384.730,00","59.222.676,00"
04/12/2018,"2.430.000,00","103.265.940,00"
04/11/2018,"-1.030.000,00","-191.626.000,00"
04/10/2018,"-353.600,00","127.493.214,00"
04/09/2018,"1.291.780,00","118.192.475,00"
04/06/2018,"-4.413.000,00","-5.136.000,00"
04/05/2018,"-1.585.000,00","-34.446.340,00"
04/04/2018,"200.000,00","22.166.000,00"
04/03/2018,"-546.484,00","18.781.514,00"
04/02/2018,"-816.710,00","-15.621.166,00"
03/30/2018,"3.105.000,00","170.997.910,00"
03/29/2018,"-4.277.292,00","-288.180.337,00"
03/28/2018,"-1.117.330,00","98.665.115,90"
03/27/2018,"-2.719.610,00","-41.535.745,00"
03/26/2018,"-2.748.820,00","-35.469.673,00"
03/23/2018,"-816.000,00","-17.467.400,00"
03/22/2018,"-5.154.100,00","-90.478.570,00"
03/21/2018,"-2.187.500,00","-44.036.690,00"
03/20/2018,"-7.710.000,00","-127.149.370,00"
03/19/2018,"1.700.000,00","152.852.200,00"
03/16/2018,"1.740.140,00","76.267.326,00"
03/15/2018,"-805.000,00","-13.509.060,00"
03/14/2018,"-2.250.000,00","-72.416.440,00"
03/13/2018,"850.000,00","24.225.540,00"
03/12/2018,"10.709.565,00","409.600.032,00"
03/09/2018,"-2.379.054,00","-59.134.764,00"
03/08/2018,"1.050.000,00","16.843.900,00"
03/07/2018,"-1.475.000,00","-31.073.850,00"
03/06/2018,"-130.613,00","-17.645.972,00"
03/05/2018,"-2.500.000,00","-45.416.000,00"
03/02/2018,"-2.330.000,00","-105.394.000,00"
03/01/2018,"0,00","0,00"
02/28/2018,"-2.545.000,00","-113.358.400,00"
02/27/2018,"-3.110.000,00","-53.249.000,00"
02/26/2018,"242.540,00","-257.420,00"
02/23/2018,"-1.477.884,00","-22.776.745,00"
02/22/2018,"358.430,00","8.996.605,00"
02/21/2018,"499.991,00","9.424.787,00"
02/13/2018,"26.580,00","1.592.142,00"
02/12/2018,"1.000.000,00","16.336.000,00"
02/09/2018,"2.293.668,00","40.574.909,00"
02/08/2018,"5.514.950,00","225.172.310,00"
02/07/2018,"-5.800.000,00","-253.322.000,00"
02/06/2018,"797.220,00","-126.517.558,00"
02/05/2018,"7.500.000,00","133.292.000,00"
02/02/2018,"7.743.186,00","268.526.717,00"
02/01/2018,"3.400.000,00","72.013.600,00"
01/31/2018,"4.454.888,00","1.428.156,00"
01/30/2018,"9.773.000,00","157.349.000,00"
01/29/2018,"1.052.997,00","-65.366.905,00"
01/26/2018,"950.000,00","21.741.400,00"
01/25/2018,"3.864.980,00","158.443.778,00"
01/22/2018,"4.414.000,00","131.733.200,00"
01/19/2018,"18.920.160,00","337.332.810,00"
01/18/2018,"8.709.220,00","320.823.860,00"
01/17/2018,"11.013.550,00","283.280.694,00"
01/16/2018,"11.783.780,00","212.845.285,00"
01/15/2018,"12.575.000,00","249.203.000,00"
01/12/2018,"13.392.400,00","269.380.420,00"
01/11/2018,"6.120.000,00","154.105.600,00"
01/10/2018,"4.330.000,00","115.839.760,00"
01/09/2018,"4.309.000,00","128.550.925,00"
01/08/2018,"16.321.863,00","578.779.933,00"
01/05/2018,"599.994,00","10.037.521,00"
01/04/2018,"-700.000,00","3.628.600,00"
01/03/2018,"-120.000,00","-2.168.720,00"
01/02/2018,"1.212.640,00","68.176.304,00"
12/29/2017,"5.990.580,00","700.209.272,00"
12/28/2017,"600.000,00","9.585.000,00"
12/27/2017,"302.000,00","-30.484.000,00"
12/26/2017,"900.000,00","66.780.000,00"
12/25/2017,"1.385.000,00","21.642.380,00"
12/22/2017,"1.800.000,00","34.245.000,00"
12/21/2017,"1.873.000,00","52.436.406,00"
12/20/2017,"620.000,00","19.570.000,00"
12/19/2017,"1.500.000,00","27.525.000,00"
12/18/2017,"1.278.900,00","35.162.620,00"
12/15/2017,"1.550.000,00","26.482.900,00"
12/14/2017,"600.000,00","9.052.800,00"
12/13/2017,"1.230.000,00","21.872.500,00"
12/12/2017,"650.000,00","18.302.000,00"
12/11/2017,"1.300.000,00","19.965.400,00"
12/08/2017,"-2.400.000,00","-342.725.000,00"
12/07/2017,"4.579.992,00","70.501.664,00"
12/06/2017,"1.900.000,00","29.600.100,00"
12/05/2017,"3.143.948,00","51.699.892,00"
12/04/2017,"0,00","0,00"
12/01/2017,"400.000,00","6.217.200,00"
11/30/2017,"4.300.000,00","67.088.600,00"
11/29/2017,"4.180.000,00","63.946.800,00"
11/28/2017,"378.394,00","4.227.577,00"
11/27/2017,"2.800.000,00","46.621.000,00"
11/24/2017,"1.500.000,00","22.897.500,00"
11/23/2017,"4.400.000,00","175.703.800,00"
11/22/2017,"300.000,00","19.200.000,00"
11/21/2017,"2.100.000,00","53.217.000,00"
11/20/2017,"1.900.000,00","42.823.000,00"
11/17/2017,"-65.700,00","-420.607,00"
11/16/2017,"359.812,00","267.166.345,00"
11/15/2017,"-2.772.000,00","-164.928.000,00"
11/14/2017,"-4.000.000,00","-120.000.000,00"
11/13/2017,"319.698,00","228.139.068,00"
11/10/2017,"-100.000,00","-1.970.000,00"
11/09/2017,"583.890,00","36.932.055,00"
11/08/2017,"-679.000,00","30.855.945,00"
11/07/2017,"1.050.000,00","24.060.000,00"
11/06/2017,"-4.817.779,00","-856.379.004,00"
11/03/2017,"1.528.530,00","55.601.315,00"
11/02/2017,"40.000,00","880.000,00"
11/01/2017,"4.698.235,00","170.086.855,00"
10/31/2017,"2.622.010,00","37.696.805,00"
10/30/2017,"6.800.000,00","107.329.500,00"
10/27/2017,"6.120.000,00","71.874.800,00"
10/26/2017,"653.497,00","99.341.545,00"
10/25/2017,"7.705.577,00","211.450.188,00"
10/24/2017,"-2.297.090,00","-38.492.995,00"
10/23/2017,"1.726.500,00","-67.460.400,00"
10/20/2017,"360.994,00","-81.423.391,00"
10/19/2017,"-1.000.000,00","-12.745.000,00"
10/18/2017,"-1.480.000,00","-18.920.400,00"
10/17/2017,"1.200.000,00","16.041.600,00"
10/16/2017,"10.400.000,00","240.871.500,00"
10/13/2017,"396.460,00","37.352.655,00"
10/12/2017,"0,00","0,00"
10/11/2017,"-200.000,00","-10.786.800,00"
10/10/2017,"-200.000,00","-7.880.000,00"
10/09/2017,"-130.000,00","-2.132.000,00"
10/06/2017,"0,00","0,00"
10/05/2017,"-2.840.000,00","-88.040.000,00"
10/04/2017,"-200.000,00","-11.000.000,00"
10/03/2017,"0,00","0,00"
10/02/2017,"0,00","0,00"
09/29/2017,"-1.145.364,00","-57.268.200,00"
09/28/2017,"-1.333.770,00","-30.943.464,00"
09/27/2017,"-235.000,00","-12.914.660,00"
09/26/2017,"-68.362,00","-820.344,00"
09/25/2017,"90.000,00","1.832.850,00"
09/22/2017,"0,00","0,00"
09/21/2017,"290.820,00","11.311.701,00"
09/20/2017,"0,00","0,00"
09/19/2017,"-40.005,00","-773.091,00"
09/18/2017,"-1.500.000,00","-19.404.000,00"
09/15/2017,"-1.103.883,00","-52.265.886,00"
09/14/2017,"-200.000,00","-2.750.000,00"
09/13/2017,"0,00","0,00"
09/12/2017,"1.300.000,00","69.160.000,00"
09/11/2017,"3.020.500,00","161.912.400,00"
09/08/2017,"-1.000.000,00","-12.763.000,00"
09/07/2017,"0,00","0,00"
09/06/2017,"0,00","0,00"
09/05/2017,"0,00","0,00"
09/01/2017,"0,00","0,00"
08/31/2017,"0,00","0,00"
08/30/2017,"1.000.000,00","12.385.000,00"
08/29/2017,"1.330.094,00","13.162.546,00"
08/28/2017,"0,00","0,00"
08/25/2017,"-30.000,00","-930.000,00"
08/24/2017,"20.000,00","1.010.000,00"
08/23/2017,"-500.000,00","-11.500.000,00"
08/22/2017,"0,00","0,00"
08/21/2017,"-105.020,00","535.120,00"
08/18/2017,"-343.040,00","-13.587.194,00"
08/17/2017,"-443.000,00","-16.264.000,00"
08/16/2017,"-200.000,00","-8.860.000,00"
08/15/2017,"-784.530,00","-34.553.763,00"
08/14/2017,"-75.000,00","-1.125.000,00"
08/11/2017,"-20.000,00","-2.382.000,00"
08/10/2017,"28.400,00","1.036.600,00"
08/09/2017,"-117.850,00","-4.981.873,00"
08/08/2017,"312.520,00","-1.753.511,00"
08/07/2017,"-352.180,00","-15.079.995,00"
08/04/2017,"0,00","0,00"
08/03/2017,"275.000,00","3.120.000,00"
08/02/2017,"2.000.000,00","24.842.000,00"
08/01/2017,"0,00","0,00"
07/31/2017,"1.469.170,00","23.987.595,00"
07/28/2017,"-573.680,00","-17.154.189,00"
07/27/2017,"1.500.000,00","18.322.500,00"
07/26/2017,"1.370.000,00","20.336.730,00"
07/25/2017,"1.600.000,00","16.158.900,00"
07/24/2017,"1.400.000,00","16.697.800,00"
07/21/2017,"1.300.000,00","15.675.400,00"
07/20/2017,"1.900.000,00","23.172.000,00"
07/19/2017,"500.000,00","-2.966.000,00"
07/18/2017,"4.490.192,00","52.713.026,00"
07/17/2017,"1.180.000,00","13.887.200,00"
07/14/2017,"2.000.000,00","21.412.500,00"
07/13/2017,"-202.000,00","-2.924.200,00"
07/12/2017,"1.000.000,00","12.324.000,00"
07/11/2017,"3.000.000,00","36.876.000,00"
07/10/2017,"3.040.000,00","35.171.800,00"
07/07/2017,"1.020.000,00","11.273.800,00"
07/06/2017,"2.730.000,00","27.662.600,00"
07/05/2017,"829.149,00","-12.018.071,00"
07/04/2017,"939.231,00","8.844.486,00"
07/03/2017,"1.515.000,00","17.359.445,00"
06/30/2017,"0,00","0,00"
06/29/2017,"-100.000,00","-1.360.000,00"
06/28/2017,"-20.000,00","-775.000,00"
06/27/2017,"3.065.514,00","57.271.208,00"
06/26/2017,"1.763.000,00","19.319.400,00"
06/23/2017,"-60.000,00","1.075.000,00"
06/22/2017,"3.088.000,00","55.754.000,00"
06/21/2017,"1.300.000,00","37.952.000,00"
06/20/2017,"0,00","0,00"
06/19/2017,"-60.007,00","-1.471.323,00"
06/16/2017,"1.146.494,00","20.820.444,00"
06/15/2017,"0,00","0,00"
06/14/2017,"0,00","0,00"
06/13/2017,"419.093,00","1.338.428,00"
06/12/2017,"-100.000,00","-1.220.000,00"
06/09/2017,"191.700,00","-4.587.270,00"
06/08/2017,"-350.000,00","-53.784.500,00"
06/07/2017,"444.000,00","6.013.650,00"
06/06/2017,"830.000,00","5.561.000,00"
06/05/2017,"-100.000,00","-7.000.000,00"
06/02/2017,"1.600.000,00","18.867.200,00"
06/01/2017,"0,00","0,00"
05/31/2017,"-1.150.000,00","-49.450.000,00"
05/30/2017,"-186.000,00","-3.391.500,00"
05/29/2017,"0,00","0,00"
05/26/2017,"-100.000,00","-1.170.000,00"
05/25/2017,"100.000,00","4.350.000,00"
05/24/2017,"0,00","0,00"
05/23/2017,"0,00","0,00"
05/22/2017,"5.508.333,00","34.090.998,00"
05/19/2017,"79.080,00","2.879.608,00"
05/18/2017,"220.000,00","9.616.420,00"
05/17/2017,"93.680,00","4.085.332,00"
05/16/2017,"300.000,00","9.000.000,00"
05/15/2017,"0,00","0,00"
05/12/2017,"-365.000,00","-39.096.000,00"
05/11/2017,"-90.200,00","-12.988.800,00"
05/10/2017,"0,00","0,00"
05/09/2017,"0,00","0,00"
05/08/2017,"-731.351,00","-186.126.376,00"
05/05/2017,"-235.900,00","-31.537.082,00"
05/04/2017,"-300.000,00","-4.320.000,00"
05/03/2017,"-49.371.635,00","-337.948.197,00"
04/28/2017,"0,00","0,00"
04/27/2017,"2.668.111,00","63.086.561,00"
04/26/2017,"0,00","0,00"
04/25/2017,"500.000,00","5.452.500,00"
04/24/2017,"-20.700,00","-1.015.335,00"
04/21/2017,"-58.946.826,00","-2.463.536.462,00"
04/20/2017,"55.740,00","2.513.540,00"
04/19/2017,"120.000,00","5.448.000,00"
04/18/2017,"83.728,00","4.778.920,00"
04/17/2017,"0,00","0,00"
04/14/2017,"0,00","0,00"
04/13/2017,"0,00","0,00"
04/12/2017,"30.580,00","1.535.116,00"
04/11/2017,"76.196,00","1.331.117,00"
04/10/2017,"-550.000,00","-6.952.500,00"
04/07/2017,"172.500,00","6.520.500,00"
04/05/2017,"-110.370,00","-9.287.798,00"
04/04/2017,"-50.000,00","-505.000,00"
04/03/2017,"0,00","0,00"
03/31/2017,"-239.900,00","-6.777.175,00"
03/30/2017,"661.310,00","45.441.670,00"
03/29/2017,"-132.722,00","-6.957.484,00"
03/28/2017,"-300.000,00","-12.376.800,00"
03/27/2017,"650.000,00","-12.957.500,00"
03/24/2017,"-540.006,00","-6.276.138,00"
03/23/2017,"-2.100.000,00","-50.445.000,00"
03/22/2017,"0,00","0,00"
