Ngày,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND)
07/08/2024,82.455.153,"2.357.347.516,57",68.041.019,"1.918.116.303,37",14.414.134,"439.231.213,20"
07/05/2024,42.962.151,"1.239.163.638,70",62.594.756,"1.631.085.166,82",-19.632.605,"-391.921.528,12"
07/04/2024,34.832.360,"975.901.021,00",37.915.996,"1.133.826.965,35",-3.083.636,"-157.925.944,35"
07/03/2024,57.512.338,"1.466.234.581,60",47.131.865,"1.450.677.403,94",10.380.473,"15.557.177,66"
07/02/2024,36.454.291,"1.049.087.953,50",52.542.486,"1.686.813.174,92",-16.088.195,"-637.725.221,42"
07/01/2024,40.122.767,"1.121.863.301,75",31.638.256,"1.040.834.181,75",8.484.511,"81.029.120,00"
06/28/2024,66.716.926,"1.954.128.574,67",51.287.837,"1.412.667.592,53",15.429.089,"541.460.982,14"
06/27/2024,70.419.588,"1.962.219.409,40",49.132.631,"1.681.480.576,59",21.286.957,"280.738.832,81"
06/26/2024,62.818.846,"1.573.036.703,70",67.221.595,"2.056.721.493,42",-4.402.749,"-483.684.789,72"
06/25/2024,66.462.280,"1.956.523.091,30",55.156.465,"1.828.050.115,91",11.305.815,"128.472.975,39"
06/24/2024,81.652.372,"2.614.961.835,71",62.739.257,"1.826.207.340,42",18.913.115,"788.754.495,29"
06/21/2024,27.827.599,"785.505.841,71",48.000.919,"1.576.875.396,70",-20.173.320,"-791.369.554,99"
06/20/2024,76.500.626,"2.303.603.532,25",48.717.842,"1.657.981.110,45",27.782.784,"645.622.421,80"
06/19/2024,87.257.411,"2.199.747.538,89",93.453.933,"2.565.479.333,56",-6.196.522,"-365.731.794,67"
06/18/2024,80.763.084,"1.866.626.784,80",77.273.801,"1.966.347.984,90",3.489.283,"-99.721.200,10"
06/17/2024,72.439.502,"1.990.170.942,07",84.324.030,"2.312.876.495,47",-11.884.528,"-322.705.553,40"
